iter	Passed	Remaining
142	8644	21579
143	8709	21532
144	8772	21477
145	8836	21426
146	8905	21385
147	8969	21332
148	9035	21285
149	9101	21236
150	9167	21187
151	9243	21163
152	9311	21117
153	9377	21069
154	9440	21012
155	9503	20956
156	9584	20938
157	9655	20899
158	9720	20847
159	9784	20792
160	9849	20738
161	9926	20710
162	9999	20674
163	10058	20608
164	10113	20533
165	10172	20466
166	10231	20402
167	10293	20341
168	10352	20277
169	10415	20218
170	10485	20174
171	10557	20133
172	10633	20099
173	10711	20068
174	10781	20022
175	10850	19975
176	10920	19929
177	10988	19877
178	11056	19827
179	11133	19793
180	11198	19736
181	11274	19700
182	11345	19653
183	11412	19599
184	11477	19542
185	11539	19481
186	11600	19416
187	11665	19360
188	11728	19299
189	11815	19277
190	11883	19225
191	11953	19175
192	12021	19121
193	12087	19065
194	12153	19009
195	12217	18949
196	12283	18893
197	12357	18848
198	12426	18796
199	12488	18733
200	12552	18672
201	12609	18602
202	12668	18534
203	12730	18472
204	12786	18399
205	12858	18351
206	12918	18285
207	12986	18231
208	13047	18167
209	13116	18112
210	13186	18060
211	13246	17994
212	13306	17929
213	13369	17867
214	13430	17803
215	13488	17734
216	13550	17671
217	13612	17608
218	13667	17537
219	13729	17473
220	13791	17410
221	13856	17351
222	13914	17283
223	13969	17212
224	14035	17154
225	14095	17089
226	14166	17037
227	14226	16971
228	14292	16914
229	14357	16854
230	14416	16787
231	14476	16722
232	14534	16655
233	14600	16596
234	14662	16534
235	14723	16470
236	14785	16407
237	14843	16340
238	14906	16278
239	14965	16212
240	15023	16145
241	15085	16082
242	15146	16019
243	15206	15954
244	15263	15886
245	15328	15826
246	15389	15762
247	15452	15701
248	15514	15639
249	15577	15577
250	15644	15520
251	15708	15458
252	15777	15402
253	15836	15337
254	15892	15269
255	15950	15202
256	16008	15136
257	16065	15069
258	16132	15011
259	16194	14948
260	16252	14882
261	16311	14817
262	16370	14752
263	16435	14692
264	16496	14628
265	16558	14566
266	16629	14511
267	16689	14447
268	16756	14389
269	16818	14327
270	16876	14260
271	16937	14197
272	16997	14133
273	17058	14070
274	17120	14007
275	17183	13945
276	17239	13878
277	17311	13824
278	17372	13760
279	17440	13703
280	17504	13642
281	17563	13577
282	17629	13517
283	17693	13456
284	17757	13395
285	17817	13332
286	17877	13267
287	17937	13203
288	18001	13142
289	18059	13077
290	18121	13014
291	18181	12951
292	18246	12890
293	18315	12833
294	18378	12771
295	18438	12707
296	18503	12647
297	18564	12584
298	18629	12523
299	18690	12460
300	18747	12394
301	18807	12330
302	18863	12264
303	18925	12201
304	18981	12135
305	19045	12074
306	19102	12009
307	19161	11944
308	19227	11885
309	19293	11824
310	19355	11762
311	19419	11701
312	19479	11637
313	19542	11576
314	19621	11523
315	19683	11461
316	19746	11399
317	19815	11341
318	19874	11276
319	19937	11214
320	19999	11152
321	20060	11089
322	20129	11030
323	20197	10971
324	20262	10910
325	20328	10849
326	20386	10785
327	20443	10720
328	20508	10659
329	20574	10599
330	20644	10540
331	20719	10484
332	20785	10424
333	20847	10361
334	20901	10294
335	20967	10234
336	21032	10172
337	21094	10110
338	21158	10048
339	21219	9985
340	21293	9928
341	21357	9866
342	21417	9803
343	21487	9744
344	21561	9687
345	21627	9626
346	21702	9569
347	21795	9519
348	21862	9459
349	21931	9399
350	22009	9343
351	22085	9285
352	22165	9230
353	22237	9171
354	22307	9111
355	22388	9056
356	22463	8998
357	22544	8942
358	22626	8886
359	22701	8828
360	22773	8768
361	22853	8712
362	22932	8654
363	23007	8596
364	23096	8542
365	23172	8483
366	23250	8425
367	23328	8367
368	23409	8310
369	23477	8248
370	23543	8186
371	23616	8125
372	23678	8062
373	23745	7999
374	23825	7941
375	23893	7879
376	23971	7820
377	24071	7769
378	24150	7710
379	24235	7653
380	24325	7597
381	24408	7539
382	24491	7481
383	24569	7422
384	24664	7367
385	24752	7310
386	24844	7254
387	24930	7196
388	25018	7138
389	25096	7078
390	25172	7017
391	25252	6957
392	25331	6896
393	25418	6838
394	25495	6777
395	25579	6717
396	25671	6660
397	25756	6600
398	25846	6542
399	25927	6481
400	26012	6421
401	26090	6360
402	26178	6301
403	26274	6243
404	26365	6184
405	26452	6124
406	26526	6061
407	26607	5999
408	26687	5937
409	26768	5876
410	26858	5816
411	26949	5756
412	27023	5692
413	27096	5628
414	27163	5563
415	27232	5498
416	27303	5434
417	27372	5369
418	27457	5307
419	27525	5242
420	27596	5178
421	27675	5115
422	27744	5050
423	27820	4986
424	27893	4922
425	27966	4857
426	28051	4795
427	28138	4733
428	28218	4670
429	28289	4605
430	28374	4542
431	28462	4480
432	28531	4414
433	28601	4349
434	28680	4285
435	28751	4220
436	28833	4156
437	28901	4091
438	28973	4025
439	29052	3961
440	29137	3898
441	29224	3834
442	29295	3769
443	29372	3704
444	29448	3639
445	29516	3573
446	29596	3509
447	29665	3443
448	29739	3377
449	29811	3312
450	29892	3247
451	29958	3181
452	30029	3115
453	30100	3049
454	30170	2983
455	30240	2917
456	30308	2851
457	30377	2785
458	30454	2720
459	30523	2654
460	30595	2588
461	30668	2522
462	30755	2457
463	30831	2392
464	30904	2326
465	30972	2259
466	31042	2193
467	31116	2127
468	31193	2061
469	31271	1996
470	31343	1929
471	31424	1864
472	31499	1798
473	31578	1732
474	31653	1665
475	31733	1600
476	31804	1533
477	31889	1467
478	31956	1400
479	32023	1334
480	32101	1268
481	32169	1201
482	32241	1134
483	32317	1068
484	32392	1001
485	32469	935
486	32542	868
487	32620	802
488	32692	735
489	32767	668
490	32844	602
491	32920	535
492	32997	468
493	33083	401
494	33160	334
495	33234	268
496	33311	201
497	33383	134
498	33457	67
499	33524	0
